width  8
height  11
(0, -0.49, 0)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 1)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 2)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 3)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 4)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 5)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 6)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 7)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 8)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 9)	(0, 0, 0)	Untagged	1	1	null
(0, -0.49, 10)	(0, 0, 0)	Untagged	1	1	null
(1, -0.49, 0)	(0, 0, 0)	Untagged	1	1	null
(1, -0.49, 1)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 2)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 3)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 4)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 5)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 6)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 7)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 8)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 9)	(0, 0, 0)	Untagged	0	1	null
(1, -0.49, 10)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 0)	(0, 0, 0)	Untagged	1	1	null
(2, -0.49, 1)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 2)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 3)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 4)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 5)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 6)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 7)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 8)	(0, 0, 0)	Untagged	0	1	null
(2, -0.49, 9)	(0, 0, 0)	Untagged	2	1	null
(2, -0.49, 10)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 0)	(0, 0, 0)	Untagged	1	1	null
(3, -0.49, 1)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 2)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 3)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 4)	(0, 0, 0)	Untagged	0	1	3_4_item	4	0	
(3, -0.49, 5)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 6)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 7)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 8)	(0, 0, 0)	Untagged	0	1	null
(3, -0.49, 9)	(0, 0, 0)	Untagged	0	1	null
